from;to;strength
0;16;1
0;85;1
0;7;1
0;106;1
0;45;1
0;62;1
2;80;1
2;50;1
2;35;1
2;53;1
2;109;1
3;58;1
4;23;1
5;43;1
5;93;1
6;22;1
6;14;1
7;107;1
8;80;1
8;91;1
9;25;1
9;78;1
10;56;1
10;42;1
10;27;1
10;29;1
10;30;1
10;15;1
11;50;1
11;42;1
11;29;1
11;54;1
12;27;1
13;49;1
13;106;1
14;25;1
14;34;1
14;42;1
14;30;1
15;94;1
16;34;1
16;46;1
17;65;1
17;95;1
18;34;1
18;61;1
19;31;1
19;92;1
19;71;1
20;105;1
20;83;1
21;101;1
23;59;1
23;93;1
23;55;1
24;80;1
24;64;1
24;78;1
25;84;1
25;44;1
26;88;1
26;27;1
28;89;1
28;87;1
30;58;1
32;48;1
32;83;1
32;68;1
32;37;1
32;87;1
32;88;1
34;99;1
35;53;1
36;104;1
36;54;1
38;102;1
38;66;1
38;108;1
38;101;1
38;94;1
39;102;1
39;86;1
40;74;1
40;61;1
41;96;1
42;96;1
42;91;1
44;73;1
45;109;1
45;69;1
46;51;1
46;67;1
47;90;1
47;78;1
48;56;1
48;103;1
50;90;1
52;107;1
55;83;1
56;73;1
56;74;1
56;87;1
57;104;1
59;106;1
61;94;1
62;86;1
63;73;1
63;69;1
64;89;1
65;97;1
65;87;1
66;107;1
67;76;1
68;102;1
68;94;1
69;108;1
70;88;1
70;98;1
70;71;1
72;96;1
73;97;1
74;104;1
76;77;1
77;100;1
78;81;1
80;82;1
81;97;1
81;95;1
86;108;1
88;97;1
91;108;1
93;102;1
101;107;1
104;105;1
