x;y
0.25419813;0.87307245
0.564271;1.0
0.23006761;0.89898354
0.17172134;0.7353704
0.2850667;0.9120915
0.17734468;0.8345563
0.76262206;0.5793325
0.74917114;0.52723336
0.71916217;0.4465761
0.21230973;0.75656486
0.73812544;0.67774963
0.8335858;0.5504294
0.766294;0.51616585
0.8238988;0.36632678
0.19308159;0.34478313
0.7785778;0.34874868
0.8877419;0.37808388
0.82772493;0.2589128
0.8475597;0.33399472
0.91409415;0.38599914
0.5954087;0.91959065
0.6301682;0.8746333
0.56538;0.9734262
0.6612389;0.993694
0.6397938;0.96055657
0.6051428;0.30208495
0.77132016;0.77477634
0.72625697;0.83432525
0.78640294;0.756142
0.8235527;0.7862483
0.47561678;0.15193202
0.13191964;0.31107455
0.25049752;0.4064627
0.7418801;0.85693467
0.29167265;0.14791937
0.23390903;0.18717094
0.37315708;0.13447213
0.45597836;0.07768196
0.4915463;0.12560795
0.3881531;0.27630755
0.6276051;0.07263655
0.45275256;0.2092851
0.54836994;0.20240311
0.04284527;0.40926006
0.025649054;0.50739264
0.07031967;0.40511584
0.84913415;0.78965324
0.76535577;0.1371076
0.8038038;0.18968372
0.7102497;0.09504471
0.5740216;0.58257407
0.5444049;0.59612006
0.35341984;0.49243984
0.2835849;0.49527732
0.34964094;0.5965437
0.3567107;0.4033089
0.59598243;0.8144377
0.19264649;0.25369406
0.47313997;0.52152914
0.3520887;0.5101388
0.4096998;0.80435383
0.4031689;0.8701904
0.44429842;0.7383308
0.37522703;0.77263975
0.46019912;0.88530177
0.34651324;0.9041937
0.65968776;0.43692195
0.62953216;0.39686996
0.23607428;0.4899768
0.34792972;0.33590046
0.5824329;0.20107804
0.59799623;0.19690353
0.34397852;0.6302479
0.44531146;0.6165339
0.2536941;0.64750445
0.39758947;0.4164351
0.5245011;0.4128461
0.5900424;0.36896622
0.5284876;0.50693655
0.5081836;0.57962435
0.4418008;0.468625
0.20192967;0.5436539
0.33010066;0.3191721
0.6406294;0.64167297
0.12904286;0.76335377
0.53648823;0.87861544
0.112134695;0.41745928
0.57835436;0.35692167
0.6996574;0.6885682
0.17551343;0.6737435
0.44578573;0.051128883
0.10293087;0.29329377
0.0;0.5053679
0.05303685;0.5992682
0.34351933;0.6449909
0.06260736;0.637832
0.10567385;0.6599518
0.64168197;0.02522389
0.65678966;0.0016949809
0.62625366;0.0
