x;y;z
0.6407628835249038;1.0;0.3295082761734512
0.603865092979889;0.8645340444193873;0.39003939567336143
0.5691799773920124;0.7209899240373878;0.44572210617430424
0.47925463694794795;0.7884204147700422;0.3235334486182836
0.5042244340583191;0.7441549377617762;0.6014176929974443
0.5099243231821954;0.610834841002623;0.35167198655883725
0.4390658708710971;0.6418391410009433;0.39971799884840187
0.6902034603118741;0.7865796322691918;0.5119124479111112
0.7358340871680359;0.6817697600545262;0.39076760631278973
0.4097717625787077;0.46270327701147074;0.3970131901946169
0.43357618969954526;0.39332569044183746;0.5496949499651314
0.38343498650113345;0.44394195635115047;0.24426454416325322
0.5165456702080008;0.3392310245417353;0.2763025057584921
0.2816074642495855;0.4638608868490652;0.30687632614878335
0.3937635483317412;0.6444383797921008;0.19851683516190252
0.27030826434787353;0.5705009781304352;0.1888493594225836
0.3380821392405722;0.26499306416398744;0.580140395965597
0.22379994702555867;0.1749863893305809;0.6550081106512824
0.20429594333070178;0.0;0.6170286708165847
0.8711015914149208;0.43197540006270535;0.7270989349980344
0.9598093075015576;0.47594419549836753;0.5364308105661093
0.939760348625744;0.6104584999593007;0.707746475912052
0.6909530408554329;0.3650361262233217;0.7264759306966291
0.7723485646195904;0.6645060393173993;0.672137168319176
0.6490479684973195;0.4938651356415683;0.739377107323884
0.8104373282237626;0.4949505302613343;0.47437038704848156
0.6859541192235106;0.36332233469983477;0.5657681584401721
0.6673400184487043;0.28857713696600884;0.3863618809094861
0.5540005115327402;0.4420342062093779;0.6499459107418943
0.5141216655869433;0.4311626531586412;0.8084270411028613
0.4745222090038073;0.47728792453260566;0.8151673169392247
0.5881146629925178;0.3037602309889865;0.7194474851873509
0.5108342560405006;0.593175337759159;0.6873155247822391
0.4350641629427739;0.5708676923422945;0.9356660671145073
0.3863585363016752;0.7934177689459114;0.8819507649847208
0.4361424895936392;0.8440380313714166;0.7243698656467449
0.15892371313157283;0.4908515906199337;0.21629249825662794
