x;y
0.95330995;0.48523214
0.98203933;0.48552436
0.9197524;0.48460853
0.99931705;0.50426745
1.0;0.46757293
0.03532443;0.63605195
0.075822115;0.6293249
0.22935781;0.77593327
0.0;0.6296375
0.40419975;0.10655152
0.8770246;0.48340964
0.8155839;0.4809673
0.63425845;0.44437212
0.5763919;0.46722
0.6183914;0.40111294
0.6973048;0.48135933
0.13231929;0.6279529
0.22992396;0.63329154
0.3961196;0.5173634
0.20663813;0.5733356
0.14508091;0.8606747
0.32841536;0.6643527
0.4083188;0.65660185
0.32128134;0.7411482
0.22803867;0.85378575
0.12685862;0.7054563
0.42708617;0.47063538
0.48724294;0.62464595
0.15389764;0.77837914
0.7063857;0.2546161
0.33316848;0.4688092
0.5165759;0.0
0.49946442;0.026551398
0.76044345;0.92996454
0.7452498;0.9146187
0.62584454;0.5538796
0.5940137;0.57935303
0.28689197;0.8021339
0.19410992;0.9184792
0.26627716;0.93046343
0.32618356;0.88706595
0.1824011;0.85879034
0.7351061;0.33569378
0.674938;0.1829957
0.7325759;0.22835317
0.48202416;8.668022e-05
0.49158844;0.07270371
0.63587224;0.7204098
0.71219575;0.8791999
0.7620308;0.323933
0.55108505;0.1100494
0.6646811;0.81064963
0.609454;0.66706884
0.65609485;0.7641506
0.12251096;0.1488345
0.14038104;0.91912293
0.31396237;0.97676486
0.09852129;0.8738404
0.42687604;0.916411
0.6177158;0.13352111
0.7229954;0.6751737
0.5777938;0.8032418
0.63765585;0.84243107
0.72326976;0.8026091
0.6148525;0.8951039
0.47377765;0.94541997
0.7227131;0.53876746
0.5309346;0.16478194
0.75819486;0.7936919
0.56691426;0.9368275
0.29222515;0.25870112
0.24502148;0.23331472
0.43755448;0.26281962
0.20003743;0.14802298
0.1982234;0.30095473
0.498313;0.2254883
0.5130899;0.2672212
0.5142615;0.31936714
0.26024386;0.13957863
0.18716703;0.087069556
0.18481302;0.1418624
0.2753141;0.42808995
0.27615622;0.45132127
0.32974488;0.16739762
0.18336643;0.058108773
0.08764426;0.14177094
0.29900345;0.51553947
0.2548715;0.55450845
0.18917271;0.5106985
0.21925402;0.46573603
0.07197498;0.3313285
0.08964129;0.32780743
0.51705545;0.37972984
0.12826419;0.3197086
0.5557575;0.47477108
0.5200364;0.95171154
0.73168683;0.46142906
