from;to;strength
0;2;1
1;4;1
1;71;1
2;11;1
2;56;1
2;65;1
2;18;1
2;93;1
3;6;1
3;77;1
4;9;1
4;37;1
5;59;1
5;75;1
6;7;1
6;27;1
6;87;1
7;12;1
7;8;1
7;38;1
7;91;1
7;94;1
10;61;1
10;82;1
10;53;1
10;93;1
12;34;1
12;26;1
12;81;1
13;22;1
14;19;1
14;88;1
14;92;1
15;76;1
15;81;1
16;56;1
17;83;1
18;24;1
18;72;1
19;49;1
20;25;1
20;51;1
20;88;1
20;27;1
20;89;1
21;26;1
21;81;1
22;29;1
22;33;1
22;84;1
23;35;1
23;76;1
24;36;1
24;27;1
24;94;1
25;80;1
27;50;1
27;65;1
27;48;1
28;49;1
28;72;1
29;47;1
30;63;1
31;37;1
32;38;1
34;62;1
34;94;1
35;41;1
36;53;1
36;60;1
37;73;1
37;76;1
38;75;1
38;80;1
38;86;1
39;45;1
39;82;1
39;83;1
40;46;1
40;55;1
40;62;1
41;50;1
42;45;1
43;61;1
43;56;1
43;92;1
44;80;1
45;60;1
45;61;1
46;52;1
47;48;1
47;86;1
47;87;1
48;94;1
49;54;1
49;69;1
49;82;1
53;67;1
54;58;1
57;65;1
57;66;1
58;91;1
59;94;1
60;68;1
60;78;1
63;89;1
63;94;1
64;71;1
64;85;1
65;68;1
70;73;1
71;76;1
72;76;1
74;82;1
75;94;1
76;79;1
77;85;1
80;90;1
84;94;1
