from;to;strength
0;30;1
0;2;1
0;9;1
1;63;1
2;46;1
3;32;1
3;69;1
3;42;1
3;56;1
3;61;1
4;53;1
5;30;1
5;14;1
5;6;1
5;77;1
5;78;1
6;7;1
6;8;1
6;9;1
6;60;1
7;10;1
7;88;1
8;10;1
8;11;1
8;53;1
8;21;1
8;92;1
9;33;1
9;13;1
9;61;1
10;12;1
11;51;1
11;35;1
11;74;1
11;41;1
13;57;1
13;62;1
13;73;1
14;53;1
14;83;1
14;32;1
14;67;1
15;48;1
15;74;1
15;76;1
15;83;1
16;52;1
16;79;1
16;85;1
17;56;1
17;75;1
17;89;1
18;49;1
19;55;1
19;82;1
20;37;1
20;72;1
20;90;1
21;36;1
21;32;1
21;53;1
22;32;1
22;45;1
22;59;1
22;95;1
23;45;1
23;64;1
23;65;1
23;74;1
23;95;1
24;41;1
24;42;1
24;45;1
25;43;1
25;44;1
25;62;1
25;85;1
26;44;1
26;53;1
27;48;1
27;50;1
28;39;1
28;40;1
29;40;1
31;32;1
31;64;1
33;56;1
33;89;1
34;58;1
35;63;1
35;75;1
36;55;1
37;71;1
37;74;1
38;84;1
39;76;1
39;79;1
42;57;1
44;67;1
44;46;1
45;53;1
45;94;1
47;68;1
47;70;1
48;58;1
49;63;1
49;82;1
50;57;1
53;80;1
53;86;1
54;88;1
55;92;1
56;81;1
56;84;1
57;67;1
58;63;1
58;86;1
58;90;1
58;94;1
61;70;1
66;67;1
66;91;1
69;74;1
70;81;1
80;93;1
81;95;1
86;87;1
88;93;1
