from;to;strength
0;1;1
0;9;1
1;84;1
1;93;1
2;7;1
2;38;1
2;95;1
2;97;1
3;4;1
3;11;1
3;66;1
4;72;1
4;36;1
4;39;1
5;64;1
5;74;1
6;13;1
6;62;1
6;99;1
7;9;1
7;28;1
8;35;1
9;14;1
10;15;1
11;16;1
11;82;1
11;95;1
12;24;1
13;22;1
13;56;1
14;20;1
14;34;1
14;79;1
15;19;1
15;20;1
15;95;1
16;72;1
17;22;1
17;76;1
17;84;1
18;89;1
19;24;1
19;76;1
19;28;1
20;61;1
20;86;1
21;26;1
21;63;1
21;87;1
22;31;1
22;33;1
23;28;1
23;59;1
23;68;1
24;36;1
24;29;1
24;49;1
25;61;1
26;27;1
27;51;1
27;66;1
27;69;1
28;42;1
28;56;1
29;82;1
29;48;1
29;62;1
29;30;1
30;37;1
30;70;1
30;85;1
31;66;1
31;78;1
31;54;1
32;68;1
32;85;1
33;39;1
33;72;1
33;90;1
34;40;1
34;80;1
35;59;1
35;76;1
36;67;1
36;81;1
37;45;1
37;47;1
37;57;1
37;58;1
37;71;1
38;43;1
38;76;1
38;88;1
39;46;1
39;58;1
40;47;1
40;92;1
41;48;1
43;71;1
43;76;1
44;66;1
45;94;1
46;57;1
48;97;1
49;62;1
50;66;1
50;74;1
50;77;1
51;52;1
51;83;1
52;53;1
52;54;1
52;64;1
52;93;1
52;97;1
55;73;1
55;75;1
58;67;1
58;73;1
59;82;1
60;68;1
60;62;1
60;76;1
60;87;1
64;80;1
65;84;1
66;95;1
68;76;1
68;94;1
69;91;1
70;95;1
73;88;1
75;82;1
75;98;1
79;86;1
79;89;1
83;98;1
84;96;1
85;96;1
85;99;1
87;99;1
