from;to;strength
0;96;1
0;60;1
0;28;1
1;27;1
1;29;1
1;54;1
2;6;1
2;55;1
3;89;1
3;29;1
3;30;1
4;75;1
5;72;1
5;33;1
5;101;1
6;48;1
6;39;1
7;40;1
8;75;1
9;43;1
9;27;1
10;82;1
10;70;1
11;85;1
12;26;1
12;95;1
13;83;1
14;88;1
14;102;1
15;62;1
16;32;1
17;52;1
17;54;1
17;62;1
18;34;1
18;60;1
19;67;1
19;36;1
19;78;1
20;81;1
20;98;1
20;77;1
21;59;1
21;44;1
21;46;1
21;103;1
22;102;1
23;65;1
23;26;1
23;46;1
24;53;1
24;54;1
25;75;1
26;71;1
26;47;1
27;74;1
27;35;1
28;96;1
28;100;1
29;50;1
29;51;1
30;41;1
30;52;1
31;32;1
32;43;1
33;73;1
34;83;1
36;57;1
37;90;1
37;103;1
38;79;1
39;96;1
40;67;1
42;48;1
42;69;1
43;45;1
43;62;1
43;57;1
45;66;1
45;95;1
46;80;1
46;69;1
46;76;1
46;78;1
47;89;1
48;54;1
48;93;1
49;82;1
49;94;1
51;97;1
51;74;1
51;94;1
52;80;1
52;84;1
52;91;1
52;79;1
53;54;1
54;64;1
55;59;1
55;60;1
56;72;1
56;97;1
57;72;1
58;65;1
58;82;1
59;61;1
60;63;1
60;76;1
61;82;1
61;102;1
62;71;1
62;65;1
63;75;1
64;72;1
65;95;1
66;99;1
66;86;1
68;81;1
68;93;1
68;102;1
70;92;1
71;96;1
71;79;1
72;76;1
73;87;1
74;77;1
74;86;1
78;95;1
79;88;1
81;91;1
82;92;1
84;86;1
85;92;1
86;95;1
88;100;1
90;93;1
94;101;1
