from;to;strength
0;51;1
0;59;1
0;81;1
0;87;1
1;59;1
1;81;1
2;8;1
2;58;1
2;64;1
2;85;1
2;13;1
3;8;1
4;12;1
4;13;1
4;56;1
4;62;1
4;22;1
4;58;1
4;88;1
5;62;1
6;52;1
6;72;1
7;11;1
8;57;1
9;14;1
9;10;1
9;85;1
9;96;1
11;16;1
11;52;1
11;51;1
12;60;1
12;38;1
13;52;1
14;19;1
14;52;1
15;65;1
15;63;1
16;53;1
16;63;1
16;73;1
16;29;1
16;84;1
16;92;1
16;95;1
17;60;1
17;68;1
17;80;1
18;96;1
20;25;1
20;67;1
21;37;1
21;92;1
22;25;1
23;28;1
23;29;1
23;31;1
23;32;1
23;33;1
23;71;1
23;35;1
23;83;1
24;26;1
24;45;1
24;66;1
26;41;1
26;77;1
27;40;1
27;58;1
27;81;1
28;46;1
29;36;1
30;90;1
30;95;1
31;76;1
31;78;1
31;82;1
32;38;1
32;56;1
32;36;1
32;93;1
32;34;1
33;52;1
34;49;1
34;44;1
35;42;1
35;43;1
35;44;1
35;45;1
35;58;1
36;47;1
36;79;1
37;44;1
37;42;1
37;78;1
37;89;1
38;46;1
39;81;1
40;49;1
41;86;1
43;93;1
46;47;1
46;66;1
47;81;1
48;80;1
48;93;1
49;55;1
49;57;1
50;75;1
50;85;1
51;72;1
52;86;1
53;54;1
57;95;1
59;87;1
60;61;1
60;71;1
64;81;1
65;71;1
67;84;1
68;69;1
68;74;1
70;76;1
74;81;1
74;94;1
75;81;1
75;82;1
75;91;1
77;87;1
81;92;1
84;98;1
85;89;1
91;94;1
97;98;1
98;99;1
