from;to;strength
0;20;1
0;28;1
0;69;1
0;6;1
0;47;1
1;28;1
1;30;1
1;14;1
2;56;1
2;106;1
3;41;1
3;98;1
3;82;1
3;14;1
3;23;1
4;9;1
4;50;1
5;41;1
5;66;1
5;27;1
6;79;1
7;57;1
7;85;1
8;44;1
9;85;1
9;39;1
10;25;1
10;42;1
10;92;1
11;82;1
11;71;1
12;65;1
12;46;1
12;23;1
13;90;1
15;59;1
15;43;1
15;47;1
16;64;1
17;82;1
17;55;1
18;80;1
18;93;1
18;31;1
19;53;1
19;93;1
19;29;1
20;63;1
21;55;1
21;85;1
21;103;1
22;80;1
22;99;1
23;41;1
24;45;1
24;62;1
25;36;1
26;94;1
27;90;1
28;85;1
28;81;1
28;104;1
28;42;1
29;75;1
30;50;1
31;32;1
31;52;1
32;105;1
32;53;1
33;69;1
33;86;1
34;65;1
34;41;1
35;38;1
37;82;1
37;94;1
38;84;1
39;52;1
40;57;1
41;60;1
43;90;1
43;44;1
45;92;1
46;51;1
46;93;1
48;81;1
48;100;1
49;88;1
49;70;1
50;67;1
50;102;1
51;74;1
51;91;1
54;93;1
54;63;1
55;74;1
55;68;1
55;97;1
56;57;1
58;99;1
58;101;1
59;102;1
60;64;1
60;105;1
60;65;1
61;94;1
62;69;1
62;70;1
63;76;1
63;65;1
64;69;1
64;94;1
65;90;1
66;83;1
67;76;1
68;77;1
69;78;1
69;89;1
71;72;1
73;75;1
77;99;1
77;79;1
78;101;1
79;100;1
81;106;1
83;88;1
84;103;1
86;106;1
87;94;1
88;100;1
89;95;1
91;99;1
92;106;1
96;104;1
97;101;1
