from;to;strength
0;39;1
0;94;1
1;39;1
1;32;1
1;50;1
1;81;1
2;40;1
2;73;1
2;79;1
2;80;1
2;85;1
3;32;1
3;86;1
4;40;1
4;42;1
4;44;1
4;41;1
4;8;1
5;35;1
6;35;1
6;68;1
6;24;1
7;42;1
7;43;1
7;14;1
8;34;1
8;51;1
9;33;1
9;57;1
9;84;1
10;65;1
10;15;1
10;76;1
10;11;1
10;94;1
11;34;1
11;49;1
12;68;1
13;36;1
13;48;1
13;16;1
14;46;1
14;66;1
15;49;1
15;66;1
16;46;1
16;37;1
16;45;1
16;80;1
17;47;1
17;63;1
17;37;1
17;48;1
17;89;1
18;61;1
18;50;1
18;63;1
19;62;1
19;37;1
19;66;1
20;60;1
20;55;1
20;37;1
20;76;1
20;89;1
21;37;1
21;80;1
22;38;1
22;83;1
23;59;1
23;56;1
23;38;1
23;42;1
24;38;1
25;64;1
25;71;1
25;91;1
26;64;1
26;68;1
27;64;1
27;53;1
27;70;1
27;88;1
28;30;1
28;29;1
29;57;1
29;60;1
29;63;1
29;53;1
29;90;1
30;71;1
30;88;1
31;58;1
33;73;1
35;52;1
35;92;1
37;67;1
37;94;1
38;80;1
39;61;1
41;47;1
43;77;1
44;75;1
46;78;1
46;74;1
46;94;1
48;65;1
49;71;1
49;58;1
49;76;1
52;76;1
52;88;1
52;91;1
53;76;1
54;87;1
54;90;1
55;76;1
56;69;1
56;94;1
58;66;1
60;74;1
62;83;1
62;90;1
63;76;1
64;79;1
64;93;1
67;72;1
69;93;1
71;86;1
72;76;1
77;79;1
82;85;1
