from;to;strength
0;2;1
1;8;1
1;32;1
1;13;1
2;97;1
2;69;1
2;39;1
2;31;1
2;63;1
3;49;1
3;14;1
3;70;1
3;47;1
4;9;1
4;91;1
4;70;1
5;66;1
5;62;1
6;33;1
6;26;1
6;10;1
7;72;1
8;18;1
8;76;1
9;51;1
9;78;1
10;54;1
11;59;1
11;53;1
12;97;1
12;37;1
14;19;1
14;104;1
14;58;1
15;17;1
15;83;1
16;85;1
16;23;1
17;64;1
17;35;1
17;72;1
17;57;1
17;62;1
18;84;1
18;79;1
20;72;1
20;53;1
20;78;1
21;89;1
21;67;1
21;36;1
21;52;1
22;61;1
22;93;1
23;32;1
23;31;1
24;50;1
24;60;1
25;92;1
25;57;1
25;84;1
25;95;1
26;33;1
26;34;1
26;52;1
26;95;1
27;29;1
28;78;1
29;51;1
29;61;1
30;65;1
30;45;1
32;93;1
33;61;1
35;96;1
35;72;1
36;73;1
36;61;1
36;78;1
36;39;1
37;97;1
37;47;1
38;57;1
38;103;1
39;77;1
40;79;1
41;82;1
41;93;1
42;73;1
42;75;1
42;102;1
43;74;1
43;71;1
44;56;1
44;104;1
44;45;1
45;63;1
46;64;1
46;86;1
48;51;1
48;100;1
49;54;1
50;75;1
50;77;1
51;84;1
52;85;1
53;72;1
53;87;1
54;74;1
55;89;1
55;101;1
56;73;1
58;88;1
58;91;1
59;79;1
60;100;1
61;73;1
61;90;1
63;68;1
65;75;1
67;80;1
67;88;1
67;98;1
69;74;1
70;77;1
72;93;1
72;79;1
75;78;1
75;93;1
76;80;1
79;94;1
81;82;1
82;87;1
87;99;1
87;91;1
91;99;1
91;98;1
