from;to;strength
0;1;1
0;4;1
1;2;1
1;76;1
3;7;1
3;11;1
3;81;1
3;85;1
4;5;1
5;9;1
6;78;1
6;86;1
6;87;1
7;12;1
8;13;1
8;75;1
8;33;1
9;87;1
10;14;1
10;75;1
10;38;1
11;21;1
11;38;1
12;15;1
12;75;1
13;16;1
14;20;1
15;91;1
16;22;1
16;87;1
16;71;1
17;23;1
18;25;1
19;20;1
19;24;1
19;87;1
21;30;1
21;31;1
21;32;1
21;33;1
21;34;1
21;84;1
21;91;1
22;26;1
22;35;1
22;92;1
23;36;1
23;27;1
24;28;1
24;78;1
25;29;1
26;44;1
26;87;1
27;43;1
27;85;1
28;37;1
28;83;1
28;94;1
29;37;1
30;38;1
30;60;1
31;39;1
32;40;1
33;41;1
33;39;1
33;84;1
34;42;1
35;89;1
37;45;1
37;46;1
37;47;1
37;48;1
37;49;1
37;94;1
38;46;1
40;47;1
42;88;1
42;93;1
43;89;1
43;56;1
45;87;1
48;90;1
49;82;1
50;51;1
50;86;1
51;52;1
51;55;1
51;74;1
52;53;1
52;87;1
53;54;1
53;56;1
54;80;1
55;58;1
55;59;1
55;60;1
55;70;1
57;64;1
58;66;1
59;67;1
60;61;1
62;68;1
62;71;1
63;69;1
63;75;1
64;69;1
64;71;1
65;72;1
66;74;1
66;79;1
66;85;1
68;75;1
72;73;1
73;74;1
74;75;1
77;78;1
78;79;1
79;80;1
79;83;1
82;95;1
87;93;1
87;96;1
88;95;1
