from;to;strength
0;58;1
0;69;1
1;58;1
1;93;1
2;9;1
2;76;1
2;62;1
3;4;1
3;15;1
4;5;1
4;12;1
4;76;1
4;79;1
4;87;1
4;88;1
5;10;1
5;79;1
6;31;1
7;15;1
8;9;1
8;55;1
9;62;1
9;40;1
9;38;1
10;62;1
11;16;1
11;77;1
12;47;1
12;82;1
12;86;1
12;89;1
13;36;1
13;87;1
13;90;1
13;94;1
14;19;1
15;25;1
15;62;1
17;22;1
17;66;1
17;78;1
18;89;1
19;56;1
20;66;1
20;83;1
20;94;1
21;26;1
21;57;1
22;86;1
22;72;1
23;24;1
23;92;1
24;28;1
24;56;1
24;71;1
25;33;1
25;34;1
25;36;1
25;61;1
26;38;1
26;30;1
27;32;1
27;65;1
27;75;1
28;73;1
29;91;1
30;45;1
30;64;1
30;73;1
30;75;1
31;39;1
31;40;1
31;92;1
32;39;1
32;85;1
34;41;1
34;75;1
35;42;1
35;54;1
35;79;1
36;75;1
37;45;1
37;68;1
38;46;1
39;47;1
39;48;1
39;63;1
39;70;1
39;80;1
40;57;1
40;71;1
41;47;1
42;48;1
42;57;1
42;88;1
43;54;1
44;49;1
44;62;1
44;72;1
44;84;1
45;55;1
45;85;1
46;57;1
46;75;1
46;91;1
48;70;1
49;80;1
50;51;1
50;52;1
50;60;1
51;52;1
51;53;1
52;66;1
53;54;1
53;65;1
53;69;1
54;55;1
54;80;1
55;62;1
55;81;1
57;58;1
57;74;1
58;68;1
59;85;1
60;90;1
64;69;1
67;79;1
77;93;1
78;83;1
80;94;1
82;84;1
85;88;1
87;92;1
